sol;temp_avg_MCD;temp_min_MCD;temp_max_MCD;press_avg_MCD;press_min_MCD;press_max_MCD;sum_var_30;sum_var_31;sum_var_32;sum_var_33;sum_var_34;sum_var_34_N;sum_var_34_S;sum_var_35;sum_var_35_N;sum_var_35_S
1;213.9;145.708;208.801;625.348;221.759;1098.43;98864.3;265.786;250900.4;56.7452;81286.99;79315.95;1969.7;1542.77;848.793;693.983
2;213.811;145.64;208.734;625.657;221.757;1100.8;98647.4;263.977;250339.5;56.7527;80925.7;78909.15;2015.35;1533.42;844.298;689.128
3;213.721;145.573;208.666;625.966;221.756;1103.16;98430.5;262.318;249778.6;56.7602;80562.33;78503.72;2058.32;1524.08;839.814;684.258
4;213.631;145.505;208.6;626.274;221.754;1105.52;98212.54;260.51;249217.7;56.7677;80201.04;78098.29;2103.97;1514.73;835.319;679.403
5;213.541;145.438;208.539;626.585;221.752;1107.88;97995.64;258.851;248656.8;56.7751;79839.75;77692.86;2146.93;1505.35;830.812;674.517
6;213.451;145.37;208.482;626.894;221.75;1110.25;97778.74;257.043;248095.8;56.7826;79478.46;77287.43;2192.58;1495.95;826.305;669.646
7;213.36;145.302;208.428;627.203;221.749;1112.61;97560.78;255.384;247534.9;56.7901;79117.16;76882;2235.55;1486.55;821.798;664.76
8;213.27;145.235;208.374;627.511;221.747;1114.97;97343.88;253.576;246974;56.7976;78755.87;76476.58;2281.2;1477.15;817.279;659.874
9;213.18;145.167;208.319;627.82;221.745;1117.33;97126.98;251.917;246413.1;56.8051;78394.58;76071.15;2324.16;1467.74;812.76;654.973
10;213.089;145.1;208.264;628.129;221.743;1119.7;96910.08;250.108;245852.2;56.8122;78033.29;75664.34;2369.81;1458.32;808.242;650.072
11;212.999;145.032;208.209;628.438;221.741;1122.06;96692.11;248.45;245291.3;56.8197;77672;75258.91;2412.78;1448.89;803.712;645.171
12;212.908;144.965;208.153;628.746;221.739;1124.43;96475.21;246.642;244730.4;56.8272;77310.7;74853.48;2458.43;1439.43;799.182;640.254
13;212.818;144.897;208.098;629.055;221.738;1126.79;96258.31;244.833;244169.5;56.8347;76949.41;74448.06;2501.39;1429.98;794.64;635.337
14;212.727;144.83;208.043;629.366;221.736;1129.15;96041.41;243.174;243606.7;56.8421;76588.12;74042.63;2544.36;1420.52;790.098;630.42
15;212.636;144.762;207.988;629.675;221.733;1131.51;95823.45;241.366;243045.8;56.8496;76226.83;73637.2;2590.01;1411.04;785.556;625.488
16;212.545;144.695;207.933;629.983;221.731;1133.88;95606.55;239.708;242484.9;56.8571;75865.53;73231.77;2632.97;1401.55;781.003;620.556
17;212.454;144.627;207.877;630.292;221.73;1136.24;95389.65;237.899;241924;56.8646;75504.24;72826.34;2678.62;1392.07;776.449;615.609
18;212.362;144.559;207.822;630.601;221.729;1138.6;95171.68;236.241;241363.1;56.8721;75142.95;72419.54;2721.59;1382.56;771.884;610.661
19;212.271;144.492;207.766;630.91;221.727;1140.96;94954.78;234.432;240802.2;56.8795;74781.66;72014.11;2767.24;1373.05;767.319;605.714
20;212.179;144.424;207.712;631.218;221.725;1143.33;94737.88;232.774;240241.3;56.887;74420.37;71608.68;2810.2;1363.51;762.754;600.751
21;212.087;144.356;207.656;631.529;221.723;1145.69;94520.98;231.115;239682.2;56.8942;74059.07;71201.87;2855.85;1354.01;758.201;595.803
22;211.994;144.288;207.602;631.838;221.721;1148.06;94303.02;229.457;239121.2;56.9016;73697.78;70795.06;2901.5;1344.47;753.635;590.84
23;211.902;144.221;207.547;632.147;221.72;1150.42;94086.12;227.498;238558.5;56.9091;73336.49;70392.39;2944.47;1334.88;749.024;585.846
24;211.809;144.156;207.492;632.455;221.718;1152.78;93869.22;225.387;237994;56.9169;72973.12;69989.72;2984.75;1325.23;744.389;580.837
25;211.715;144.105;207.438;632.768;221.717;1155.14;93651.26;220.413;237400.4;56.9271;72607.68;69613.26;2995.49;1314.99;739.429;575.582
26;211.621;144.044;207.385;633.081;221.716;1157.5;93434.36;216.946;236823.1;56.936;72242.23;69223;3019.66;1305.08;734.632;570.449
27;211.526;143.949;207.327;633.382;221.712;1159.88;93217.46;220.714;236316.7;56.939;71889.24;68767.92;3121.7;1296.59;730.671;565.918
28;211.431;143.819;207.267;633.681;221.706;1162.24;93000.56;229.156;235855.6;56.9384;71544.56;68272.86;3272.07;1289;727.244;561.756
29;211.339;143.638;207.205;633.974;221.699;1164.62;92784.72;240.763;235425.4;56.935;71204.03;67750.22;3451.99;1282.06;724.178;557.857
30;211.248;143.489;207.141;634.263;221.689;1166.99;92568.88;257.796;235049.6;56.9275;70869.74;67179.31;3690.98;1276.17;721.75;554.42
31;211.156;143.422;207.073;634.544;221.677;1169.37;92353.05;280.558;234732;56.9152;70545.82;66556;3989.05;1271.44;719.996;551.445
32;211.064;143.402;207.001;634.82;221.664;1171.75;92138.27;308.596;234465.1;56.8986;70230.21;65888.56;4340.83;1267.77;718.834;548.917
33;210.971;143.422;206.924;635.092;221.648;1174.14;91923.5;340.703;234238.2;56.8789;69920.82;65183.88;4735.57;1264.88;718.172;546.729
34;210.879;143.437;206.855;635.363;221.633;1176.52;91708.73;372.358;234007.7;56.8595;69609.37;64484.73;5124.94;1261.9;717.429;544.478
35;210.786;143.438;206.794;635.637;221.619;1178.9;91493.95;402.356;233760.8;56.8415;69297.91;63797.98;5498.2;1258.64;716.511;542.12
36;210.694;143.439;206.728;635.91;221.603;1181.28;91279.18;432.503;233513.9;56.8231;68984.37;63112.61;5871.45;1255.34;715.605;539.747
37;210.601;143.438;206.67;636.184;221.589;1183.66;91064.4;462.35;233265.2;56.8051;68670.84;62427.25;6244.71;1252.02;714.664;537.358
38;210.508;143.437;206.644;636.46;221.575;1186.05;90848.57;492.347;233016.6;56.787;68359.38;61743.26;6615.28;1248.69;713.723;534.969
39;210.415;143.437;206.648;636.733;221.56;1188.43;90633.79;522.344;232769.7;56.769;68045.84;61057.89;6988.54;1245.37;712.794;532.58
40;210.321;143.437;206.689;637.007;221.545;1190.82;90419.02;552.341;232522.8;56.751;67732.31;60372.52;7359.12;1242.05;711.876;530.191
41;210.228;143.437;206.742;637.28;221.53;1193.2;90204.25;582.188;232274.1;56.733;67418.77;59687.16;7732.37;1238.72;710.947;527.786
42;210.135;143.437;206.78;637.554;221.515;1195.59;89989.47;612.185;232027.2;56.715;67107.31;59001.79;8105.63;1235.4;710.018;525.397
43;210.041;143.437;206.817;637.827;221.501;1197.97;89774.7;642.182;231780.4;56.6969;66793.78;58316.42;8476.2;1232.08;709.088;522.993
44;209.947;143.437;206.852;638.101;221.486;1200.35;89559.93;672.179;231531.7;56.6786;66480.24;57631.06;8849.46;1228.76;708.159;520.604
45;209.853;143.437;206.886;638.375;221.472;1202.73;89344.09;702.177;231284.8;56.6606;66166.71;56945.69;9222.72;1225.43;707.23;518.199
46;209.76;143.437;206.921;638.648;221.457;1205.11;89129.32;732.174;231037.9;56.6425;65855.25;56260.32;9595.98;1222.08;706.289;515.795
47;209.665;143.437;206.956;638.922;221.442;1207.49;88914.54;762.171;230789.2;56.6245;65541.71;55574.96;9966.55;1218.73;705.36;513.375
48;209.571;143.436;206.992;639.195;221.428;1209.87;88699.77;792.168;230542.4;56.6065;65228.18;54889.59;10339.81;1215.41;704.431;510.971
49;209.477;143.436;207.026;639.471;221.412;1212.26;88484.99;822.165;230295.5;56.5885;64916.72;54204.22;10713.07;1212.06;703.501;508.566
50;209.383;143.436;207.062;639.745;221.398;1214.64;88270.22;852.163;230046.8;56.5704;64603.19;53517.48;11083.64;1208.71;702.572;506.147
51;209.289;143.436;207.096;640.018;221.384;1217.02;88054.38;882.16;229799.9;56.5524;64289.65;52832.11;11456.9;1205.36;701.631;503.727
52;209.195;143.436;207.132;640.292;221.369;1219.4;87839.61;912.157;229551.2;56.5344;63976.11;52146.74;11830.16;1202.01;700.702;501.307
53;209.1;143.436;207.167;640.565;221.355;1221.79;87624.84;942.154;229304.4;56.516;63664.66;51461.38;12200.73;1198.66;699.761;498.887
54;209.006;143.436;207.201;640.839;221.34;1224.17;87410.06;972.151;229057.5;56.498;63351.12;50776.01;12573.99;1195.28;698.832;496.452
55;208.911;143.436;207.236;641.112;221.325;1226.55;87195.29;1002.15;228808.8;56.48;63037.59;50090.64;12947.24;1191.93;697.902;494.032
56;208.817;143.436;207.271;641.386;221.31;1228.93;86980.52;1031.99;228561.9;56.462;62724.05;49405.28;13317.82;1188.55;696.962;491.597
57;208.723;143.436;207.305;641.66;221.296;1231.31;86765.74;1061.99;228315.1;56.4439;62412.59;48719.91;13691.07;1185.18;696.021;489.162
58;208.628;143.436;207.34;641.933;221.282;1233.7;86549.91;1091.99;228066.4;56.4259;62099.06;48034.54;14064.33;1181.8;695.091;486.726
59;208.533;143.436;207.374;642.209;221.266;1236.08;86335.13;1121.99;227819.5;56.4076;61785.52;47349.18;14437.59;1178.45;694.15;484.291
60;208.438;143.436;207.408;642.482;221.252;1238.47;86120.36;1151.98;227572.6;56.3895;61471.99;46663.81;14808.16;1175.05;693.21;481.841
61;208.344;143.436;207.442;642.756;221.237;1240.85;85905.58;1181.98;227323.9;56.3715;61160.53;45978.44;15181.42;1171.67;692.28;479.405
62;208.249;143.436;207.477;643.029;221.222;1243.24;85690.81;1211.98;227077.1;56.3535;60846.99;45293.08;15554.68;1168.29;691.339;476.955
63;208.154;143.435;207.511;643.303;221.208;1245.62;85476.04;1241.97;226830.2;56.3355;60533.46;44607.71;15925.25;1164.91;690.399;474.504
64;208.059;143.435;207.542;643.577;221.193;1248;85261.26;1271.97;226581.5;56.3174;60222;43922.34;16298.51;1161.51;689.458;472.053
65;207.963;143.435;207.571;643.85;221.179;1250.38;85045.43;1301.97;226334.6;56.2994;59908.46;43236.98;16671.77;1158.11;688.517;469.603
66;207.868;143.435;207.596;644.124;221.164;1252.76;84830.65;1331.97;226087.7;56.2814;59594.93;42551.61;17042.34;1154.73;687.576;467.137
67;207.773;143.435;207.621;644.397;221.149;1255.14;84615.88;1361.96;225839.1;56.263;59281.39;41866.24;17415.6;1151.33;686.635;464.686
68;207.678;143.435;207.65;644.671;221.134;1257.52;84401.11;1391.96;225592.2;56.245;58969.93;41180.88;17788.86;1147.92;685.694;462.22
69;207.583;143.435;207.682;644.945;221.119;1259.91;84186.33;1421.96;225345.3;56.227;58656.4;40495.51;18159.43;1144.52;684.753;459.754
70;207.487;143.435;207.717;645.22;221.105;1262.29;83971.56;1451.95;225096.6;56.209;58342.86;39810.14;18532.69;1141.11;683.812;457.288
71;207.392;143.435;207.751;645.494;221.091;1264.67;83755.72;1481.95;224849.7;56.1909;58029.33;39124.77;18905.95;1137.68;682.871;454.822
72;207.296;143.435;207.784;645.767;221.076;1267.05;83540.95;1511.8;224602.9;56.1729;57717.87;38439.41;19279.2;1134.28;681.931;452.356
73;207.2;143.435;207.816;646.041;221.061;1269.43;83326.17;1541.8;224354.2;56.1546;57404.33;37754.04;19649.78;1130.85;680.978;449.874
74;207.105;143.434;207.847;646.314;221.047;1271.82;83111.4;1571.79;224107.3;56.1365;57090.8;37068.67;20023.03;1127.44;680.037;447.393
75;207.009;143.434;207.878;646.588;221.031;1274.2;82896.63;1601.79;223858.6;56.1185;56777.26;36383.31;20396.29;1124.01;679.096;444.911
76;206.913;143.434;207.909;646.862;221.017;1276.58;82681.85;1631.94;223611.7;56.1001;56465.81;35697.94;20769.55;1120.58;678.144;442.43
77;206.817;143.434;207.936;647.131;221;1278.96;82468.14;1662.09;223366.7;56.0808;56156.42;35013.95;21142.81;1117.15;677.203;439.964
78;206.721;143.434;207.966;647.405;220.986;1281.35;82253.37;1691.93;223118;56.0628;55842.89;34328.59;21516.07;1113.72;676.25;437.467
79;206.624;143.434;208;647.682;220.973;1283.74;82036.47;1721.78;222869.3;56.0464;55527.28;33641.84;21883.95;1110.29;675.309;434.97
80;206.528;143.435;208.04;647.977;220.965;1286.18;81815.32;1750.87;222611.5;56.0366;55190.9;32948.2;22241.1;1106.8;674.38;432.427
81;206.432;143.436;208.086;648.314;220.971;1288.73;81582.47;1777.85;222335.6;56.0434;54806.77;32238.01;22568.71;1103.26;673.486;429.776
82;206.333;143.436;208.129;648.581;220.954;1291.09;81369.82;1808.15;222090.6;56.023;54499.46;31554.02;22944.65;1099.83;672.533;427.294
