hr_a;hr_b
-1.230309977113533057e-04;-1.555104830084955425e-01
-1.230316061933914176e-04;-1.555099762618693260e-01
-1.230326609168740147e-04;-1.555105652173909281e-01
-1.230308786515319234e-04;-1.555104767616195538e-01
-1.230321057207851235e-04;-1.555102966016990163e-01
-1.230314907540559994e-04;-1.555108828085955686e-01
-1.230323294231582909e-04;-1.555102793603200528e-01
-1.230311685348441835e-04;-1.555103300849574877e-01
-1.230321709663198743e-04;-1.555109120439779058e-01
-1.230317083211340140e-04;-1.555095729635182500e-01
-1.230316651292368251e-04;-1.555108258370814234e-01
-1.230313998670205528e-04;-1.555102971014494240e-01
-1.230310018691415145e-04;-1.555108803098449732e-01
-1.230313911946937259e-04;-1.555100492253873312e-01
-1.230327660207360975e-04;-1.555105437281358860e-01
-1.212271305841076783e-04;-1.374574590204897528e-01
-1.212312063832327475e-04;-1.374676874062969456e-01
-1.212280291450998929e-04;-1.374564210394800534e-01
-1.212306385639181359e-04;-1.374683728135933092e-01
-1.212267504455449065e-04;-1.374567231384309918e-01
-1.212319874664769600e-04;-1.374676031984006230e-01
-1.212268634452827421e-04;-1.374562588705649790e-01
-1.212311162544837739e-04;-1.374691396801595300e-01
-1.212273755759936823e-04;-1.374571189405299765e-01
-1.212272884102558385e-04;-1.374560337331335313e-01
-1.212308229315767270e-04;-1.374674452773611277e-01
-1.212306656571630198e-04;-1.374669842578709611e-01
-1.212266560925025460e-04;-1.374567978510745636e-01
-1.212282585456471028e-04;-1.374566569215392997e-01
-1.212306211296195429e-04;-1.374669935032481471e-01
-1.212283078030338600e-04;-1.374620119940031526e-01
-1.212283225340039116e-04;-1.374615907046476404e-01
-1.212301420904611992e-04;-1.374617958520739369e-01
-1.212295147595351421e-04;-1.374619995002499262e-01
-1.212280154275649047e-04;-1.374615622188905262e-01
-1.212288561470322416e-04;-1.374620384807594964e-01
-1.212302686042317961e-04;-1.374618890554726025e-01
-1.212283522297954053e-04;-1.374619017991002556e-01
-1.212284316485207178e-04;-1.374625322338831335e-01
-1.212290215530958704e-04;-1.374606574212893506e-01
-1.212295920931875769e-04;-1.374624770114944716e-01
-1.212282363067149172e-04;-1.374617106446775483e-01
-1.212295216542964203e-04;-1.374621544227885572e-01
-1.212293673077642154e-04;-1.374613185907045121e-01
-1.212289345935817366e-04;-1.374621316841577456e-01
1.068434887074366609e-05;1.718828815592203241e-01
1.068254905170973563e-05;1.718730334832583306e-01
1.068403562222346460e-05;1.718835427286357631e-01
1.068193960673408793e-05;1.718721961519239783e-01
1.068487759343107148e-05;1.718838383308344819e-01
1.068155907755913156e-05;1.718723775612192861e-01
1.068478860684397868e-05;1.718843055972018030e-01
1.068153557859198394e-05;1.718710272363815350e-01
1.068444588946835803e-05;1.718832351324336427e-01
1.068616066198593003e-05;1.718841556721639185e-01
1.068147598934120368e-05;1.718728895552227298e-01
1.068088609277441389e-05;1.718733290854572160e-01
1.068595014106818968e-05;1.718837786106947596e-01
1.068492975507991715e-05;1.718832011494250689e-01
1.068188825433531421e-05;1.718739020489754299e-01
1.068323239443209357e-05;1.718783940529734489e-01
1.068263795618786349e-05;1.718784252873562512e-01
1.068347974758094494e-05;1.718786854072964498e-01
1.068392524169625164e-05;1.718784857571213909e-01
1.068342941063327129e-05;1.718784562718642106e-01
1.068335174817952435e-05;1.718780039980009611e-01
1.068317508265795029e-05;1.718787536231883017e-01
1.068322352875133290e-05;1.718784622688656893e-01
1.068218691702168982e-05;1.718781019490255857e-01
1.068465740564187640e-05;1.718791609195404191e-01
1.068355249835774091e-05;1.718784487756120083e-01
1.068365335770679646e-05;1.718781899050476625e-01
1.068244666889303688e-05;1.718783680659668744e-01
1.068408481964468186e-05;1.718788125937031619e-01
1.068366064217122013e-05;1.718785719640179288e-01
1.364815446765078725e-04;4.456456589205397556e-01
1.364785468447204291e-04;4.456357498750623813e-01
1.364818725487282130e-04;4.456468270864568093e-01
1.364780951376587815e-04;4.456353145927035575e-01
1.364821677707272953e-04;4.456466656671663196e-01
1.364784713183208687e-04;4.456356161919041714e-01
1.364831300979547760e-04;4.456467941029481072e-01
1.364786214504247475e-04;4.456343213393305636e-01
1.364822287179285742e-04;4.456462168915542588e-01
1.364819607456979058e-04;4.456471094452773007e-01
1.364790739329796443e-04;4.456359897551223082e-01
1.364777072632789771e-04;4.456364480259873417e-01
1.364823696372893900e-04;4.456464292853571929e-01
1.364813440983677294e-04;4.456461689155422623e-01
1.364801612295273091e-04;4.456368370814591251e-01
1.364791849095703543e-04;4.456418528235883136e-01
1.364822447264025260e-04;4.456410027486255587e-01
1.364793657571299924e-04;4.456421046976510314e-01
1.364815608500637482e-04;4.456408058470767153e-01
1.364804434528444537e-04;4.456421896551726047e-01
1.364805862749594010e-04;4.456407753623186641e-01
1.364798401385458962e-04;4.456416936531731321e-01
1.364807854153575559e-04;4.456412246376814656e-01
1.364800929568850765e-04;4.456414275362316491e-01
1.364799174531737135e-04;4.456415764617692732e-01
1.364805532372527974e-04;4.456417386306846806e-01
1.364812457169422189e-04;4.456409340329833269e-01
1.364799888949532619e-04;4.456416544227887466e-01
1.364801809553169685e-04;4.456411904047973827e-01
1.364810982471050687e-04;4.456420069965017494e-01
1.493310802943552005e-04;3.658875984507749535e-01
1.493281052952003245e-04;3.658789327836078908e-01
1.493325747512061138e-04;3.658886274362821989e-01
1.493273898877118936e-04;3.658780614692653255e-01
1.493311085274172205e-04;3.658883568215891002e-01
1.493284319733556630e-04;3.658785079960020226e-01
1.493321349526651582e-04;3.658890769615193439e-01
1.493288265063549510e-04;3.658771316841578636e-01
1.493300144650557351e-04;3.658881334332831359e-01
1.493318913519381115e-04;3.658886391804099247e-01
1.493290180417416774e-04;3.658791041979009284e-01
1.493270054137499760e-04;3.658791826586707541e-01
1.493320483480818173e-04;3.658881306846577530e-01
1.493310479688798420e-04;3.658883925537230741e-01
1.493288529582909973e-04;3.658792121439277678e-01
1.493291325866011419e-04;3.658843333333334780e-01
1.493305419271911461e-04;3.658834050474763511e-01
1.493296941244727635e-04;3.658840964517742211e-01
1.493303851857471034e-04;3.658833428285857003e-01
1.493301355264453265e-04;3.658842668665665543e-01
1.493293254319774470e-04;3.658832146426786447e-01
1.493300875247590689e-04;3.658843848075961080e-01
1.493304004634092141e-04;3.658834010494754208e-01
1.493294901162638643e-04;3.658839490254873206e-01
1.493296637956693842e-04;3.658838893053472652e-01
1.493306742289465805e-04;3.658838448275863464e-01
1.493292793942449287e-04;3.658834067966015846e-01
1.493304626276658665e-04;3.658838303348325716e-01
1.493299140997781771e-04;3.658838735632184980e-01
1.493299263631411638e-04;3.658841261869066330e-01
7.726914691553455597e-05;2.974340329835058888e-02
7.726463980742655962e-05;2.973516966516735749e-02
7.726913969235017082e-05;2.974412843578208565e-02
7.726604246479239939e-05;2.973439030484763962e-02
7.726840893343692380e-05;2.974423363318322300e-02
7.726558011845811294e-05;2.973505797101461470e-02
7.726880391035764143e-05;2.974452648675679836e-02
7.726571367571136888e-05;2.973350274862548992e-02
7.726788746072532697e-05;2.974375612193896207e-02
7.726929464218519747e-05;2.974469140429818192e-02
7.726621215368204801e-05;2.973525887056462785e-02
7.726544698973939775e-05;2.973531684157924848e-02
7.726846707567786422e-05;2.974430809595182343e-02
7.726840004842070657e-05;2.974377136431791135e-02
7.726645640302988666e-05;2.973574712643674289e-02
7.726774437707171833e-05;2.973994952523732402e-02
7.726660826338540829e-05;2.973959820089952175e-02
7.726744864893461716e-05;2.973999500249882230e-02
7.726727737758974591e-05;2.973986556721651756e-02
7.726751531761666674e-05;2.974000999500246364e-02
7.726669038636881646e-05;2.973950474762615190e-02
7.726770059759202950e-05;2.973994902548729447e-02
7.726767292704271952e-05;2.973969190404800525e-02
7.726685304482064191e-05;2.973928260869545745e-02
7.726729592189303234e-05;2.974058770614693842e-02
7.726764987868289510e-05;2.973982933533249329e-02
7.726730272436550383e-05;2.973971589205396879e-02
7.726718192738059440e-05;2.973948525737139803e-02
7.726740442147354111e-05;2.974019890054957829e-02
7.726736659533654306e-05;2.973983183408303310e-02
-1.783070015479316562e-05;-3.301096509245378119e-01
-1.783403593230889529e-05;-3.301179480259870402e-01
-1.783074084417404976e-05;-3.301084130434780994e-01
-1.783278245621683160e-05;-3.301186051974013824e-01
-1.783156591015057777e-05;-3.301089447776112684e-01
-1.783335032066164666e-05;-3.301179070464766996e-01
-1.783056248138942485e-05;-3.301082166416791086e-01
-1.783337300701019090e-05;-3.301196636681661412e-01
-1.783149945464585013e-05;-3.301090722138931288e-01
-1.783009956032797271e-05;-3.301081139430285805e-01
-1.783353979450110697e-05;-3.301177518740627814e-01
-1.783385644252654767e-05;-3.301178080959520367e-01
-1.782999542236675519e-05;-3.301085197401300575e-01
-1.783128281889508597e-05;-3.301089627686155659e-01
-1.783312317362689722e-05;-3.301173083458270319e-01
-1.783222325204144129e-05;-3.301133495752123781e-01
-1.783134030087637494e-05;-3.301128113443277945e-01
-1.783221665722514802e-05;-3.301134155422288941e-01
-1.783188474865609187e-05;-3.301127408795603846e-01
-1.783232288223411072e-05;-3.301132371314340896e-01
-1.783172186609434444e-05;-3.301130744627687741e-01
-1.783184225767483154e-05;-3.301133435782108161e-01
-1.783206438249812026e-05;-3.301129540229884030e-01
-1.783275331064082701e-05;-3.301137491254374501e-01
-1.783125961116182478e-05;-3.301120867066462683e-01
-1.783214753752851794e-05;-3.301137618690657138e-01
-1.783122510148498391e-05;-3.301125862068965966e-01
-1.783256874360115280e-05;-3.301137906046976433e-01
-1.783278897238941915e-05;-3.301126036981509859e-01
-1.783174895335163377e-05;-3.301132821089456382e-01
-9.217654293747463512e-05;-5.095259805097448469e-01
