sol;temp;press;;
180;190.726;7.704;;
181;210.7634483;7.63;;1
182;215.9573333;7.59;;1
183;216.4724138;7.567931034;;1
184;213.2541379;7.561724138;;1
185;210.2286667;7.571;;1
186;209.497931;7.565172414;;1
187;212.3944828;7.54;;1
188;216.4486207;7.505172414;;1
189;217.1831034;7.488965517;;1
190;212.3016667;7.477333333;;1
191;210.882069;7.482758621;;1
192;210.5758621;7.472758621;;1
193;213.3589655;7.47;;1
194;216.9624138;7.440344828;;1
195;218.3655172;7.409655172;;1
196;213.1527586;7.402413793;;1
197;210.4517241;7.401034483;;1
198;210.4834483;7.393103448;;1
199;210.8807143;7.376071429;;1
200;214.2986207;7.359655172;;1
201;216.952069;7.335862069;;1
202;215.7344828;7.324827586;;1
203;212.987931;7.317586207;;1
204;211.5621429;7.314642857;;1
205;209.1517241;7.29862069;;1
206;212.8575862;7.284482759;;1
207;215.8717857;7.273214286;;1
208;217.1251724;7.236551724;;1
209;215.325;7.241428571;;1
210;212.6455172;7.236206897;;1
211;212.2810714;7.225357143;;1
212;211.3696552;7.202758621;;1
213;213.8225;7.200714286;;1
214;216.0964286;7.179285714;;1
215;217.83;7.166206897;;1
216;217.0378571;7.133571429;;1
217;214.1332143;7.127142857;;1
218;213.3703571;7.135;;1
219;212.5714286;7.123214286;;1
220;211.1113793;7.113793103;;1
221;214.9371429;7.117857143;;1
222;216.1342857;7.084642857;;1
223;217.1842857;7.068928571;;1
224;216.6335714;7.069642857;;1
225;213.7946429;7.0525;;1
226;213.6196296;7.047777778;;1
227;212.0825;7.044642857;;1
228;212.655;7.030357143;;1
229;213.9735714;7.025714286;;1
230;215.8385185;7.014444444;;1
231;217.5207143;7.0025;;1
232;218.2285714;6.980714286;;1
233;217.0018519;6.965555556;;1
234;215.6032143;6.948214286;;1
235;214.7233333;6.957407407;;1
236;213.1882143;6.954285714;;1
237;212.8548148;6.942592593;;1
238;211.8871429;6.9375;;1
239;214.0885185;6.937037037;;1
240;215.6703704;6.935555556;;1
241;217.6807143;6.931071429;;1
242;217.552963;6.921111111;;1
243;217.252963;6.906666667;;1
244;215.8714815;6.897407407;;1
245;214.8703704;6.901111111;;1
246;214.1403704;6.907777778;;1
247;213.8444444;6.885925926;;1
248;213.0985185;6.888148148;;1
249;213.2848148;6.875925926;;1
250;213.5825926;6.866296296;;1
251;214.1433333;6.854444444;;1
252;215.7957692;6.845384615;;1
253;216.8407407;6.851481481;;1
254;217.1851852;6.848148148;;1
255;216.7826923;6.846153846;;1
256;218.1674074;6.833703704;;1
257;217.4892308;6.823846154;;1
258;217.4655556;6.804814815;;1
259;217.4415385;6.821923077;;1
260;216.107037;6.837407407;;1
261;216.8230769;6.846923077;;1
262;215.8342308;6.840384615;;1
263;214.5407407;6.844814815;;1
264;214.3592308;6.833461538;;1
265;214.7084615;6.85;;1
266;214.0153846;6.848461538;;1
267;213.6146154;6.859230769;;1
268;213.6873077;6.857692308;;1
269;214.3811538;6.859230769;;1
270;214.4953846;6.856538462;;1
271;214.4357692;6.838461538;;1
272;215.6515385;6.821923077;;1
273;215.6984615;6.814615385;;1
274;215.4461538;6.807692308;;1
275;215.4448;6.7864;;1
276;217.1088462;6.785;;1
277;217.3938462;6.828076923;;1
278;216.0048;6.8316;;1
279;217.0926923;6.815;;1
280;216.084;6.794;;1
281;216.9069231;6.797692308;;1
282;215.6164;6.8108;;1
283;217.5646154;6.815769231;;1
284;215.1356;6.828;;1
285;215.658;6.8276;;1
286;209.87875;6.8325;;1
303;214.2386667;6.91;;17
304;213.4475;6.880416667;;1
305;214.6596;6.8896;;1
306;212.755;6.9;;1
307;212.8766667;6.897916667;;1
308;216.4484;6.906;;1
309;214.31;6.902916667;;1
310;213.1858333;6.91875;;1
311;215.0304167;6.923333333;;1
312;214.1466667;6.934583333;;1
313;214.0066667;6.93625;;1
314;216.6470833;6.93625;;1
315;215.0020833;6.957916667;;1
316;215.07625;6.96375;;1
317;215.6216667;6.965416667;;1
318;214.3520833;6.995416667;;1
319;214.5845833;6.983333333;;1
320;214.4370833;6.995833333;;1
321;214.993913;7.016521739;;1
322;213.9520833;7.031666667;;1
323;214.475;7.03;;1
324;213.8252174;7.020869565;;1
325;213.4;7.055;;1
326;212.85125;7.0575;;1
327;210.8465217;7.070434783;;1
328;211.8370833;7.0675;;1
329;209.8852174;7.059565217;;1
330;210.6473913;7.100869565;;1
331;212.77875;7.084583333;;1
