sol;temp;press
219;217.2213333;7.776
220;220.2610714;7.758214286
221;217.5196429;7.735714286
222;216.0910714;7.723214286
223;214.9125;7.720714286
224;213.77;7.723214286
225;216.3892857;7.693214286
226;217.0589286;7.678214286
227;217.97;7.649285714
228;217.8660714;7.654642857
229;217.3785185;7.65
230;215.3946429;7.645
231;214.3228571;7.635714286
232;216.1907143;7.628214286
233;217.6348148;7.633333333
234;218.2210714;7.633571429
235;218.8059259;7.632962963
236;221.0957143;7.586785714
237;220.9244444;7.578518519
238;220.107037;7.565185185
239;219.5871429;7.561785714
240;217.517037;7.565555556
241;217.3040741;7.56
242;217.6885185;7.553333333
243;215.285;7.56
244;216.7974074;7.549259259
245;217.9614815;7.533333333
246;219.1818519;7.534444444
247;219.7225926;7.544814815
248;218.9455556;7.51
249;219.1844444;7.487407407
250;218.0811538;7.484230769
251;217.14;7.482962963
252;216.7881481;7.476666667
253;214.3607407;7.467777778
254;215.4038462;7.466538462
255;214.737037;7.465555556
256;215.1292593;7.47
257;214.5665385;7.47
258;214.657037;7.482222222
259;215.1526923;7.474615385
260;160.4692593;7.465925926
261;215.9880769;7.466538462
262;215.6311538;7.461538462
263;214.9146154;7.457307692
264;216.6822222;7.429259259
265;214.8473077;7.424615385
266;216.0534615;7.449230769
267;215.3946154;7.455769231
268;214.0961538;7.458076923
269;214.2342308;7.433846154
270;214.1;7.393076923
271;213.2788462;7.391153846
272;213.8903846;7.446923077
273;212.8911538;7.474230769
274;213.0304;7.458
275;115.06;7.393684211
276;160.7504762;7.420413534
277;206.4409524;7.447142857
278;210.2934615;7.445769231
279;210.1726923;7.472307692
280;211.072;7.4616
281;209.9257692;7.443846154
282;210.602;7.408
283;210.6396;7.3972
284;209.9657692;7.421538462
285;211.5444;7.4604
286;210.4172;7.4648
287;210.3832;7.4552
288;207.5538462;7.452692308
289;209.4096;7.4688
290;210.7624;7.4736
291;209.686;7.45
292;207.9724;7.4376
293;206.7792;7.4568
294;206.1556;7.49
295;208.4720833;7.513333333
296;207.6996;7.514
297;207.65;7.468
298;207.9724;7.4432
299;208.4066667;7.43375
300;207.1976;7.3956
301;208.9591667;7.407916667
302;207.4156;7.4236
303;207.75;7.460833333
304;206.0336;7.47
305;207.3695833;7.495416667
306;207.0768;7.4784
307;208.0991667;7.477083333
308;208.7341667;7.51125
309;207.2452;7.474
310;206.4858333;7.495
311;205.07625;7.51625
312;205.9108333;7.504166667
313;205.1770833;7.52875
314;205.1679167;7.535833333
315;204.4733333;7.523333333
316;202.45375;7.53125
