"id","latitude","longitude","wsp"
1,58.2825,-90,-0.20851
2,58.2825,90,-0.20851
3,-58.2825,-90,-0.20851
4,-58.2825,90,-0.20851
5,31.7175,0,0.102937
6,-31.7175,0,0.102937
7,31.7175,180,0.102937
8,-31.7175,180,0.102937
9,0,58.2825,0.167459
10,0,-58.2825,0.167459
11,0,121.717,0.167459
12,0,-121.717,0.167459
13,59.1303,-84.1135,-0.225921
14,62.3332,-83.4193,-0.296253
15,59.6997,-77.9788,-0.237899
16,65.5337,-82.5401,-0.373673
17,62.8928,-76.5141,-0.309278
18,59.9746,-71.6877,-0.243763
19,68.7295,-81.3944,-0.457954
20,66.0681,-74.6527,-0.387287
21,63.1113,-69.4193,-0.314422
22,59.9469,-65.3495,-0.24317
23,71.9163,-79.8431,-0.548684
24,69.2152,-72.2202,-0.471358
25,66.2009,-66.5475,-0.3907
26,62.9792,-62.298,-0.311308
27,59.6175,-59.0791,-0.236156
28,75.0866,-77.6306,-0.645223
29,72.3161,-68.9245,-0.560522
30,69.219,-62.8236,-0.471464
31,65.9225,-58.4767,-0.383559
32,62.5003,-55.3173,-0.300119
33,58.9961,-52.9834,-0.223132
34,78.2247,-74.2334,-0.74651
35,75.338,-64.249,-0.653133
36,72.1259,-57.8577,-0.554878
37,68.7366,-53.6101,-0.458149
38,65.2449,-50.6869,-0.366397
39,61.6914,-48.6244,-0.281584
40,58.0998,-47.1501,-0.204824
41,81.2936,-68.4113,-0.850574
42,78.2165,-57.2238,-0.746238
43,74.8532,-51.0346,-0.637911
44,71.3587,-47.3132,-0.532341
45,67.7967,-44.9397,-0.432646
46,64.198,-43.3733,-0.340502
47,60.5794,-42.3281,-0.256851
48,56.9512,-41.6415,-0.182186
49,84.1795,-56.5758,-0.952441
50,80.8117,-45.9727,-0.833927
51,77.2808,-41.4234,-0.715474
52,73.6919,-39.0876,-0.602008
53,70.0776,-37.7856,-0.495538
54,66.4522,-37.0486,-0.397192
55,62.8235,-36.6562,-0.307653
56,59.1968,-36.4928,-0.227309
57,55.5759,-36.4932,-0.156294
58,86.4069,-26.788,-1.03338
59,82.8064,-27.3392,-0.903522
60,79.2004,-27.8818,-0.779084
61,75.5909,-28.4192,-0.661128
62,71.9804,-28.9547,-0.550576
63,68.3714,-29.4914,-0.44817
64,64.7664,-30.0326,-0.354468
65,61.168,-30.5816,-0.269835
66,57.5785,-31.142,-0.194435
67,54,-31.7175,-0.128242
68,86.4069,26.788,-1.03338
