#;S;Ts;a1;a2;a3;a4;a5;a6;airHeatCap;albedo;atm_press;azim;cfc_column;ch4_column;co2_atmpres_share;co2_column;distanceFromPlanetCenter;div_Ts;div_cfc;div_ch4;div_co2;div_nh3;emissivity;frozenCO2;h20_column;h20ice_column;height;height_diff;id_cell;latitude;location;longitude;merid_wind;n1;n2;n2_atmpres_share;n2_column;n3;n4;n5;n6;name;neigh;neighbours;next_step_co2_column;nextstep_cfc_column;nextstep_ch4_column;nextstep_nh3_column;nh3_column;o3_columnpres;pCFC;pCH4;pCO2;pN2;pNH3;ppH2O;prevTs;regolithCO2inv;sh;solarZenithAngle;spec;sunMarsDist;tCFC;tCH4;tCO2;tH2O;tN2;tNH3;temp;thermFluxToSpace;x;y;z;zonal_wind
3621;1.0;206.83772827515097;15;308;70;253;128;195;755.030334;0.116053;656.140686;[15,70,128,195,253,308];0.0;0.0;0.963464;149.8894998477053;3392948.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.009959;0.0003;-1359.283691;1736.0659685;3622;-15.2005;{-53.2178,-15.2005,0.0};-53.2178;0.069014;3616;3617;0.017024;1.933611;3621;3623;3628;3629;'cell3621';[3616,3621,3628,3629,3623,3617];[cell[3615],cell[3616],cell[3620],cell[3622],cell[3627],cell[3628]];149.8894998477053;0.0;0.0;0.0;0.0;0.000002;0.0;0.0;0.0064203798541828;0.0000719450246436;0.0;0.0000003817127684;206.797089;1000.0;polygon ([{-52.7749995,-13.5916,0.0},{-53.6649,-16.81315,0.0},{-51.8398,-16.217,0.0},{-55.0452995,-15.754700499999998,0.0},{-51.425349999999995,-14.5749,0.0},{-54.5732,-14.177299999999999,0.0},{-52.7749995,-13.5916,0.0}]);164.7995;0;1.557781;0.0;0.0;0.00000905687690536;0.0;0.0;0.0;206.797089;92.199768;-0.772896;0.577827;-0.262198;1.626371
2611;1.0;185.49347404053404;237;184;125;66;304;12;727.528198;0.275358;637.46167;[12,66,125,184,237,304];0.0;0.0;0.963557;150.39238147637684;3394707.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00971;0.000444;-1074.54126;1445.8068111666664;2612;11.0497;{-137.309006,11.0497,0.0};-137.309006;-1.418334;2590;2591;0.017026;1.872587;2607;2613;2618;2619;'cell2611';[2619,2613,2607,2591,2590,2618];[cell[2589],cell[2590],cell[2606],cell[2612],cell[2617],cell[2618]];150.39238147637684;0.0;0.0;0.0;0.0;0.000001;0.0;0.0;0.006202119588884;0.0000696744680612;0.0;0.0000003778059704;185.456497;1000.0;polygon ([{-138.7805025,10.112504999999999,0.0},{-136.951004,12.73925,0.0},{-138.6495055,11.94135,0.0},{-135.5930025,11.80645,0.0},{-135.9850005,10.14635,0.0},{-137.42449950000002,9.21095,0.0},{-138.7805025,10.112504999999999,0.0}]);168.950302;0;1.557781;0.0;0.0;0.00000907069293915;0.0;0.0;0.0;185.456497;58.030521;-0.665472;-0.721397;0.19166;-7.975905
3418;1.0;202.4197345939498;89;22;146;328;202;269;749.501892;0.182042;612.181702;[22,89,146,202,269,328];0.0;0.0;0.963794;143.90014916907512;3395123.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.009861;0.000333;-646.319275;1413.4426678333332;3419;-6.27114;{-73.432098,-6.27114,0.0};-73.432098;-5.62374;3412;3413;0.016879;1.805669;3418;3420;3426;3427;'cell3418';[3413,3412,3418,3426,3427,3420];[cell[3411],cell[3412],cell[3417],cell[3419],cell[3425],cell[3426]];143.90014916907512;0.0;0.0;0.0;0.0;0.000001;0.0;0.0;0.0060002716703604;0.0000671846098844;0.0;0.0000003792942744;202.380417;1000.0;polygon ([{-71.7803495,-6.245955,0.0},{-75.086048,-6.292335,0.0},{-74.079498,-7.834595,0.0},{-74.4249495,-4.715725,0.0},{-72.38895,-7.798439999999999,0.0},{-72.80685,-4.70449,0.0},{-71.7803495,-6.245955,0.0}]);173.728867;0;1.557781;0.0;0.0;0.00000889034591914;0.0;0.0;0.0;202.380417;84.438538;-0.952747;0.283446;-0.109234;-0.587604
3626;1.0;208.24615223501087;13;306;66;249;126;192;756.778503;0.118995;683.439087;[13,66,126,192,249,306];0.0;0.0;0.963447;162.91048196068613;3392179.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010278;0.000243;-1884.820801;1218.4654491666668;3627;-15.8983;{-46.891899,-15.8983,0.0};-46.891899;1.054408;3620;3621;0.017034;2.015903;3626;3628;3634;3635;'cell3626';[3620,3626,3634,3635,3628,3621];[cell[3619],cell[3620],cell[3625],cell[3627],cell[3633],cell[3634]];162.91048196068613;0.0;0.0;0.0;0.0;0.000002;0.0;0.0;0.006693736166164;0.0000750069124628;0.0;0.0000003914611596;208.205566;1000.0;polygon ([{-46.5073985,-14.23075,0.0},{-47.272299000000004,-17.572400000000002,0.0},{-45.4970495,-16.8611495,0.0},{-48.6768495,-16.5659,0.0},{-45.149398500000004,-15.16355,0.0},{-48.2623995,-14.9238,0.0},{-46.5073985,-14.23075,0.0}]);164.1017;0;1.557781;0.0;0.0;0.00000940682338561;0.0;0.0;0.0;208.205566;94.292717;-0.70214;0.657238;-0.273931;-1.495651
3424;1.0;205.2424334388801;88;22;144;325;202;268;753.043213;0.122984;580.227783;[22,88,144,202,268,325];0.0;0.0;0.963588;139.64432058166778;3395164.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.009038;0.000384;-5.367981;1158.9139151666664;3425;-12.4247;{-72.606102,-12.4247,0.0};-72.606102;3.145745;3417;3418;0.016965;1.72489;3424;3426;3433;3434;'cell3424';[3418,3417,3424,3433,3434,3426];[cell[3416],cell[3417],cell[3423],cell[3425],cell[3432],cell[3433]];139.64432058166778;0.0;0.0;0.0;0.0;0.000001;0.0;0.0;0.0057230990120548;0.000064179017164;0.0;0.0000003505700072;205.20192;1000.0;polygon ([{-70.8769495,-12.37045,0.0},{-74.339752,-12.4704,0.0},{-73.2616995,-13.969899999999999,0.0},{-73.66650000000001,-10.911375,0.0},{-71.4858515,-13.90465,0.0},{-71.975952,-10.875219999999999,0.0},{-70.8769495,-12.37045,0.0}]);167.575302;0;1.557781;0.0;0.0;0.00000876970694334;0.0;0.0;0.0;205.20192;86.77346;-0.931923;0.291938;-0.215156;0.153378
2636;1.0;189.14370329856263;192;128;248;70;307;12;732.374146;0.289079;472.182068;[12,70,128,192,248,307];0.0;0.0;0.9636;121.19642476917717;3396484.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.006494;0.000435;2177.872314;1144.793274333333;2637;22.605801;{-131.587997,22.605801,0.0};-131.587997;8.422073;2628;2629;0.016998;1.402882;2636;2638;2646;2647;'cell2636';[2647,2638,2629,2628,2636,2646];[cell[2627],cell[2628],cell[2635],cell[2637],cell[2645],cell[2646]];121.19642476917717;0.0;0.0;0.0;0.0;0.000001;0.0;0.0;0.004647225333202;0.0000521978723032;0.0;0.0000002578114604;189.107117;1000.0;polygon ([{-131.9674985,20.9261505,0.0},{-131.206497,24.2898505,0.0},{-133.067497,23.6299505,0.0},{-129.7244985,23.2171005,0.0},{-133.40249599999999,21.919451000000002,0.0},{-130.1464995,21.566501000000002,0.0},{-131.9674985,20.9261505,0.0}]);157.394196;0;1.557781;0.0;0.0;0.00000822207055398;0.0;0.0;0.0;189.107117;52.012348;-0.69047;-0.612778;0.384389;2.020258
3620;1.0;207.76027640048608;14;307;68;250;126;194;756.1745;0.125964;672.45575;[14,68,126,194,250,307];0.0;0.0;0.963376;161.53335404109066;3392719.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010147;0.000315;-1682.852295;1135.0815989999999;3621;-13.9493;{-49.6329,-13.9493,0.0};-49.6329;-0.700959;3615;3616;0.017067;1.98686;3620;3622;3627;3628;'cell3620';[3615,3620,3627,3628,3622,3616];[cell[3614],cell[3615],cell[3619],cell[3621],cell[3626],cell[3627]];161.53335404109066;0.0;0.0;0.0;0.0;0.000002;0.0;0.0;0.0065918155083172;0.000073926292136;0.0;0.0000003892659112;207.719818;1000.0;polygon ([{-49.217149500000005,-12.312999999999999,0.0},{-50.047349999999994,-15.5914,0.0},{-48.2623995,-14.9238,0.0},{-51.425349999999995,-14.5749,0.0},{-47.877899,-13.25625,0.0},{-50.982549500000005,-12.966,0.0},{-49.217149500000005,-12.312999999999999,0.0}]);166.050705;0;1.557781;0.0;0.0;0.00000937055079954;0.0;0.0;0.0;207.719818;92.879364;-0.739441;0.628582;-0.241064;0.913885
1511;1.0;199.9022945532789;287;229;347;167;48;104;746.316711;0.192861;996.962402;[48,104,167,229,287,347];0.0;0.0;0.964171;241.594480333391;3384711.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.016465;0.000896;-5835.804199;1082.7735593333334;1512;-33.7556;{54.8111,-33.7556,0.0};54.8111;-3.080999;1497;1498;0.016712;2.918989;1511;1513;1527;1528;'cell1511';[1527,1528,1513,1498,1497,1511];[cell[1496],cell[1497],cell[1510],cell[1512],cell[1526],cell[1527]];241.594480333391;0.0;0.0;0.0;0.0;0.000009;0.0;0.0;0.00978502766334;0.0001086085751164;0.0;0.0000006459611436;199.86322;1000.0;polygon ([{52.7759,-33.241600000000005,0.0},{56.896799,-34.175501,0.0},{56.368349,-32.5593005,0.0},{55.2949505,-35.410101,0.0},{54.3497505,-32.100300000000004,0.0},{53.184601,-34.9319495,0.0},{52.7759,-33.241600000000005,0.0}]);146.2444;0;1.557781;0.0;0.0;0.00001125454351137;0.0;0.0;0.0;199.86322;84.067192;0.679479;0.479123;-0.555652;4.364302
3831;1.0;190.28737717776679;311;244;7;189;62;128;733.8797;0.126729;551.232605;[7,62,128,189,244,311];0.0;0.0;0.964299;131.19618188589195;3388582.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.006301;0.000302;617.481873;1047.760314333333;3832;-41.0896;{-158.686996,-41.0896,0.0};-158.686996;-0.137859;3826;3827;0.016662;1.595945;3831;3833;3838;3839;'cell3831';[3831,3838,3839,3833,3827,3826];[cell[3825],cell[3826],cell[3830],cell[3832],cell[3837],cell[3838]];131.19618188589195;0.0;0.0;0.0;0.0;0.000003;0.0;0.0;0.0053650882662144;0.000059381283182;0.0;0.0000002456817828;190.246933;1000.0;polygon ([{-160.315498,-40.0175995,0.0},{-156.9449995,-42.1088505,0.0},{-156.6999965,-40.290899499999995,0.0},{-159.08000149999998,-42.9021495,0.0},{-158.38800049999998,-39.267799499999995,0.0},{-160.7535015,-41.8309005,0.0},{-160.315498,-40.0175995,0.0}]);138.9104;0;1.557781;0.0;0.0;0.00000852414686509;0.0;0.0;0.0;190.246933;69.209824;-0.273931;-0.70214;-0.657238;-0.926094
2643;1.0;182.76104732912566;188;124;241;64;303;7;723.862427;0.308583;655.156006;[7,64,124,188,241,303];0.0;0.0;0.963674;161.57866687451934;3392395.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.008781;0.000249;-1521.966309;1043.9716291666668;2644;21.581301;{-141.649994,21.581301,0.0};-141.649994;3.334222;2634;2635;0.016976;1.926345;2643;2645;2654;2655;'cell2643';[2655,2645,2635,2634,2643,2654];[cell[2633],cell[2634],cell[2642],cell[2644],cell[2653],cell[2654]];161.57866687451934;0.0;0.0;0.0;0.0;0.000001;0.0;0.0;0.0063822962384484;0.000071674674222;0.0;0.000000335984628;182.725037;1000.0;polygon ([{-141.9054945,19.829200999999998,0.0},{-141.4109955,23.3402005,0.0},{-143.13800049999998,22.4909505,0.0},{-139.903496,22.383850000000002,0.0},{-143.3379975,20.715300499999998,0.0},{-140.196495,20.650801,0.0},{-141.9054945,19.829200999999998,0.0}]);158.418701;0;1.557781;0.0;0.0;0.00000937174698296;0.0;0.0;0.0;182.725037;56.360691;-0.576964;-0.72926;0.367821;-7.107562
